Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der psychischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,,,,0.3
2021,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2022,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2023,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2024,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,,,,1.2
2010,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2011,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2012,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2013,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2014,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2015,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2016,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2017,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2018,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2019,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2020,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,,,,0.3
2021,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2022,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2023,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2024,c) Sexuelle Gewalt,,,,,Sexueller Missbrauch oder Vergewaltigung,,,,0.4
2010,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2011,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2012,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2013,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2014,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2015,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2016,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2017,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2018,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2019,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2020,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,,,,0.3
2021,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2022,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2023,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2024,c) Sexuelle Gewalt,Weiblich,,,,Sexueller Missbrauch oder Vergewaltigung,,,,0.6
2010,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2011,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2012,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2013,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2014,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2015,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2016,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2017,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2018,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2019,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2020,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,,,,0.1
2021,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2022,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2023,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,.,,,
2024,c) Sexuelle Gewalt,Männlich,,,,Sexueller Missbrauch oder Vergewaltigung,,,,0.1
