Year,Units,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Stunden pro Tag,Pflegearbeit,,,,,,,0.3
2022,Stunden pro Tag,Pflegearbeit,,,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Städte,,,,,,0.3
2022,Stunden pro Tag,Pflegearbeit,Städte,,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,,,,,,0.3
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,,15 Jahre und älter,,,,,0.3
2022,Stunden pro Tag,Pflegearbeit,,15 Jahre und älter,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,,25 bis unter 45 Jahre,,,,,0.8
2022,Stunden pro Tag,Pflegearbeit,,25 bis unter 45 Jahre,,,,,1.1
2013,Stunden pro Tag,Pflegearbeit,,45 bis unter 55 Jahre,,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,,45 bis unter 55 Jahre,,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,,55 bis unter 65 Jahre,,,,,0.1
2013,Stunden pro Tag,Pflegearbeit,,,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,,,Weiblich,,,,0.5
2013,Stunden pro Tag,Pflegearbeit,,,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,,,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,Städte,,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,Städte,,Weiblich,,,,0.5
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,,Weiblich,,,,0.5
2013,Stunden pro Tag,Pflegearbeit,,15 Jahre und älter,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,,15 Jahre und älter,Weiblich,,,,0.6
2013,Stunden pro Tag,Pflegearbeit,,25 bis unter 45 Jahre,Weiblich,,,,1.2
2022,Stunden pro Tag,Pflegearbeit,,25 bis unter 45 Jahre,Weiblich,,,,1.5
2013,Stunden pro Tag,Pflegearbeit,,45 bis unter 55 Jahre,Weiblich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,,45 bis unter 55 Jahre,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,,55 bis unter 65 Jahre,Weiblich,,,,0.1
2013,Stunden pro Tag,Pflegearbeit,Städte,,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Städte,,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,,Männlich,,,,0.2
2013,Stunden pro Tag,Pflegearbeit,,15 Jahre und älter,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,,15 Jahre und älter,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,,25 bis unter 45 Jahre,Männlich,,,,0.5
2022,Stunden pro Tag,Pflegearbeit,,25 bis unter 45 Jahre,Männlich,,,,0.7
2013,Stunden pro Tag,Pflegearbeit,,45 bis unter 55 Jahre,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,,45 bis unter 55 Jahre,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,,55 bis unter 65 Jahre,Männlich,,,,0.1
2022,Stunden pro Tag,Pflegearbeit,,55 bis unter 65 Jahre,Männlich,,,,0.1
2013,Stunden pro Tag,Pflegearbeit,Städte,15 Jahre und älter,,,,,0.3
2022,Stunden pro Tag,Pflegearbeit,Städte,15 Jahre und älter,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Städte,25 bis unter 45 Jahre,,,,,0.8
2022,Stunden pro Tag,Pflegearbeit,Städte,25 bis unter 45 Jahre,,,,,1.1
2013,Stunden pro Tag,Pflegearbeit,Städte,45 bis unter 55 Jahre,,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Städte,45 bis unter 55 Jahre,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,,,,,0.3
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,0.8
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,1.0
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,0.6
2013,Stunden pro Tag,Pflegearbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,1.2
2022,Stunden pro Tag,Pflegearbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,1.5
2013,Stunden pro Tag,Pflegearbeit,Städte,45 bis unter 55 Jahre,Weiblich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Städte,45 bis unter 55 Jahre,Weiblich,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,0.5
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,1.2
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,1.5
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,0.4
2013,Stunden pro Tag,Pflegearbeit,Städte,15 Jahre und älter,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Städte,15 Jahre und älter,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,0.5
2022,Stunden pro Tag,Pflegearbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,0.7
2013,Stunden pro Tag,Pflegearbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,0.2
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,0.3
2013,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,0.4
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,0.5
2022,Stunden pro Tag,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,0.3
