Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.2
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,|,,,3.4
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.3
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.5
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.5
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.3
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.5
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.2
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.4
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,|,,,3.3
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.2
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,,,,3.7
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,,|,,,3.7
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.2
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,|,,,5.5
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.2
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.4
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.6
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.2
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.4
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.1
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.2
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,|,,,5.2
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.0
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,5.5
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Weiblich,|,,,5.5
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.8
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,|,,,0.7
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.8
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,1.0
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.8
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.9
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,1.2
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.7
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,1.1
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,|,,,0.9
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,1.0
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,,,,1.5
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,60 Jahre und älter,Männlich,|,,,1.5
2010,Anzahl,Nicht-sexuelle Belästigung,,,,,,28870.0
2011,Anzahl,Nicht-sexuelle Belästigung,,,,,,26876.0
2012,Anzahl,Nicht-sexuelle Belästigung,,,,,,26360.0
2013,Anzahl,Nicht-sexuelle Belästigung,,,,,,25517.0
2014,Anzahl,Nicht-sexuelle Belästigung,,,,,,23303.0
2015,Anzahl,Nicht-sexuelle Belästigung,,,,,,21070.0
2016,Anzahl,Nicht-sexuelle Belästigung,,,,,,19949.0
2017,Anzahl,Nicht-sexuelle Belästigung,,,r,,,19750.0
2018,Anzahl,Nicht-sexuelle Belästigung,,,r,,,20280.0
2019,Anzahl,Nicht-sexuelle Belästigung,,,r,,,20204.0
2020,Anzahl,Nicht-sexuelle Belästigung,,,r,,,20997.0
2021,Anzahl,Nicht-sexuelle Belästigung,,,r,,,22091.0
2022,Anzahl,Nicht-sexuelle Belästigung,,,r,,,23082.0
2023,Anzahl,Nicht-sexuelle Belästigung,,,r,,,25138.0
2024,Anzahl,Nicht-sexuelle Belästigung,,,,,,26703.0
2010,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,22909.0
2011,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,21414.0
2012,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,21217.0
2013,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,20455.0
2014,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,18682.0
2015,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,16941.0
2016,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,16115.0
2017,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,15999.0
2018,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,16456.0
2019,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,16432.0
2020,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,16974.0
2021,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,17693.0
2022,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,18628.0
2023,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,r,,,20089.0
2024,Anzahl,Nicht-sexuelle Belästigung,,Weiblich,,,,21382.0
2010,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,5961.0
2011,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,5462.0
2012,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,5143.0
2013,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,5062.0
2014,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,4621.0
2015,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,4129.0
2016,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,3834.0
2017,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,3751.0
2018,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,3824.0
2019,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,3772.0
2020,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,4023.0
2021,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,4398.0
2022,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,4454.0
2023,Anzahl,Nicht-sexuelle Belästigung,,Männlich,r,,,5049.0
2024,Anzahl,Nicht-sexuelle Belästigung,,Männlich,,,,5321.0
2010,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,443.0
2011,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,416.0
2012,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,432.0
2013,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,427.0
2014,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,377.0
2015,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,343.0
2016,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,336.0
2017,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,338.0
2018,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,346.0
2019,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,398.0
2020,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,380.0
2021,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,404.0
2022,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,460.0
2023,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,r,,,579.0
2024,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,681.0
2010,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,272.0
2011,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,263.0
2012,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,310.0
2013,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,273.0
2014,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,260.0
2015,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,221.0
2016,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,221.0
2017,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,212.0
2018,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,239.0
2019,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,241.0
2020,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,226.0
2021,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,264.0
2022,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,313.0
2023,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,r,,,353.0
2024,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,404.0
2010,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,171.0
2011,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,153.0
2012,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,122.0
2013,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,154.0
2014,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,117.0
2015,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,122.0
2016,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,115.0
2017,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,126.0
2018,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,107.0
2019,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,157.0
2020,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,154.0
2021,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,140.0
2022,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,147.0
2023,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,r,,,226.0
2024,Anzahl,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,277.0
2010,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1289.0
2011,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1227.0
2012,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1101.0
2013,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1143.0
2014,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1063.0
2015,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,817.0
2016,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,806.0
2017,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,829.0
2018,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,798.0
2019,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,821.0
2020,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,751.0
2021,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,803.0
2022,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,822.0
2023,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,r,,,928.0
2024,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,1019.0
2010,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1132.0
2011,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1087.0
2012,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,991.0
2013,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,1015.0
2014,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,943.0
2015,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,716.0
2016,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,710.0
2017,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,718.0
2018,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,724.0
2019,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,704.0
2020,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,624.0
2021,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,672.0
2022,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,686.0
2023,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,786.0
2024,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,820.0
2010,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,157.0
2011,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,140.0
2012,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,110.0
2013,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,128.0
2014,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,120.0
2015,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,101.0
2016,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,96.0
2017,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,111.0
2018,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,74.0
2019,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,117.0
2020,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,127.0
2021,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,131.0
2022,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,136.0
2023,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,r,,,142.0
2024,Anzahl,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,199.0
2010,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,2467.0
2011,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,2202.0
2012,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,2036.0
2013,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,1769.0
2014,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,1654.0
2015,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,1402.0
2016,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,1253.0
2017,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1340.0
2018,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1462.0
2019,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1279.0
2020,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1385.0
2021,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1393.0
2022,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1321.0
2023,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,r,,,1421.0
2024,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,1593.0
2010,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,2185.0
2011,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1946.0
2012,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1804.0
2013,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1586.0
2014,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1477.0
2015,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1265.0
2016,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1136.0
2017,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1214.0
2018,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1298.0
2019,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1149.0
2020,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1252.0
2021,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1226.0
2022,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1174.0
2023,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,1223.0
2024,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,1388.0
2010,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,282.0
2011,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,256.0
2012,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,232.0
2013,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,183.0
2014,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,177.0
2015,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,137.0
2016,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,117.0
2017,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,126.0
2018,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,164.0
2019,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,130.0
2020,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,133.0
2021,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,167.0
2022,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,147.0
2023,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,r,,,198.0
2024,Anzahl,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,205.0
2010,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,23019.0
2011,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,21536.0
2012,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,21296.0
2013,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,20738.0
2014,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,18814.0
2015,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,17239.0
2016,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,16303.0
2017,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,16060.0
2018,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,16423.0
2019,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,16440.0
2020,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,17193.0
2021,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,18068.0
2022,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,18925.0
2023,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,r,,,20453.0
2024,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,21639.0
2010,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,18342.0
2011,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,17238.0
2012,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,17207.0
2013,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,16679.0
2014,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,15118.0
2015,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,13916.0
2016,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,13260.0
2017,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,13064.0
2018,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,13403.0
2019,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,13504.0
2020,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,14027.0
2021,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,14625.0
2022,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,15432.0
2023,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,16583.0
2024,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,17639.0
2010,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4677.0
2011,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4298.0
2012,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4089.0
2013,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4059.0
2014,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3696.0
2015,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3323.0
2016,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3043.0
2017,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,2996.0
2018,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,3020.0
2019,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,2936.0
2020,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,3166.0
2021,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,3443.0
2022,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,3493.0
2023,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,r,,,3870.0
2024,Anzahl,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4000.0
2010,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1652.0
2011,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1495.0
2012,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1495.0
2013,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1440.0
2014,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1395.0
2015,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1269.0
2016,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1251.0
2017,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1183.0
2018,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1251.0
2019,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1266.0
2020,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1288.0
2021,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1423.0
2022,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1554.0
2023,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,r,,,1757.0
2024,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,1771.0
2010,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,978.0
2011,Anzahl,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,880.0
