Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,non-sexual harassment,21 to under 60 years,male,,,,4677.0
2011,number,non-sexual harassment,21 to under 60 years,male,,,,4298.0
2012,number,non-sexual harassment,21 to under 60 years,male,,,,4089.0
2013,number,non-sexual harassment,21 to under 60 years,male,,,,4059.0
2014,number,non-sexual harassment,21 to under 60 years,male,,,,3696.0
2015,number,non-sexual harassment,21 to under 60 years,male,,,,3323.0
2016,number,non-sexual harassment,21 to under 60 years,male,,,,3043.0
2017,number,non-sexual harassment,21 to under 60 years,male,r,,,2996.0
2018,number,non-sexual harassment,21 to under 60 years,male,r,,,3020.0
2019,number,non-sexual harassment,21 to under 60 years,male,r,,,2936.0
2020,number,non-sexual harassment,21 to under 60 years,male,r,,,3166.0
2021,number,non-sexual harassment,21 to under 60 years,male,r,,,3443.0
2022,number,non-sexual harassment,21 to under 60 years,male,r,,,3493.0
2023,number,non-sexual harassment,21 to under 60 years,male,r,,,3870.0
2024,number,non-sexual harassment,21 to under 60 years,male,,,,4000.0
2010,number,non-sexual harassment,60 years and older,,,,,1652.0
2011,number,non-sexual harassment,60 years and older,,,,,1495.0
2012,number,non-sexual harassment,60 years and older,,,,,1495.0
2013,number,non-sexual harassment,60 years and older,,,,,1440.0
2014,number,non-sexual harassment,60 years and older,,,,,1395.0
2015,number,non-sexual harassment,60 years and older,,,,,1269.0
2016,number,non-sexual harassment,60 years and older,,,,,1251.0
2017,number,non-sexual harassment,60 years and older,,r,,,1183.0
2018,number,non-sexual harassment,60 years and older,,r,,,1251.0
2019,number,non-sexual harassment,60 years and older,,r,,,1266.0
2020,number,non-sexual harassment,60 years and older,,r,,,1288.0
2021,number,non-sexual harassment,60 years and older,,r,,,1423.0
2022,number,non-sexual harassment,60 years and older,,r,,,1554.0
2023,number,non-sexual harassment,60 years and older,,r,,,1757.0
2024,number,non-sexual harassment,60 years and older,,,,,1771.0
2010,number,non-sexual harassment,60 years and older,female,,,,978.0
2011,number,non-sexual harassment,60 years and older,female,,,,880.0
2012,number,non-sexual harassment,60 years and older,female,,,,905.0
2013,number,non-sexual harassment,60 years and older,female,,,,902.0
2014,number,non-sexual harassment,60 years and older,female,,,,884.0
2015,number,non-sexual harassment,60 years and older,female,,,,823.0
2016,number,non-sexual harassment,60 years and older,female,,,,788.0
2017,number,non-sexual harassment,60 years and older,female,r,,,791.0
2018,number,non-sexual harassment,60 years and older,female,r,,,792.0
2019,number,non-sexual harassment,60 years and older,female,r,,,834.0
2020,number,non-sexual harassment,60 years and older,female,r,,,845.0
2021,number,non-sexual harassment,60 years and older,female,r,,,906.0
2022,number,non-sexual harassment,60 years and older,female,r,,,1023.0
2023,number,non-sexual harassment,60 years and older,female,r,,,1144.0
2024,number,non-sexual harassment,60 years and older,female,,,,1131.0
2010,number,non-sexual harassment,60 years and older,male,,,,674.0
2011,number,non-sexual harassment,60 years and older,male,,,,615.0
2012,number,non-sexual harassment,60 years and older,male,,,,590.0
2013,number,non-sexual harassment,60 years and older,male,,,,538.0
2014,number,non-sexual harassment,60 years and older,male,,,,511.0
2015,number,non-sexual harassment,60 years and older,male,,,,446.0
2016,number,non-sexual harassment,60 years and older,male,,,,463.0
2017,number,non-sexual harassment,60 years and older,male,r,,,392.0
2018,number,non-sexual harassment,60 years and older,male,r,,,459.0
2019,number,non-sexual harassment,60 years and older,male,r,,,432.0
2020,number,non-sexual harassment,60 years and older,male,r,,,443.0
2021,number,non-sexual harassment,60 years and older,male,r,,,517.0
2022,number,non-sexual harassment,60 years and older,male,r,,,531.0
2023,number,non-sexual harassment,60 years and older,male,r,,,613.0
2024,number,non-sexual harassment,60 years and older,male,,,,640.0
2010,number,sexual harassment,,,,,,7523.0
2011,number,sexual harassment,,,,,,8011.0
2012,number,sexual harassment,,,,,,8306.0
2013,number,sexual harassment,,,,,,8161.0
2014,number,sexual harassment,,,,,,8356.0
2015,number,sexual harassment,,,,,,8262.0
2016,number,sexual harassment,,,,,,8599.0
2017,number,sexual harassment,,,r,,,8350.0
2018,number,sexual harassment,,,r,,,8817.0
2019,number,sexual harassment,,,r,,,8031.0
2020,number,sexual harassment,,,r,,,9319.0
2021,number,sexual harassment,,,|,r,,9035.0
2022,number,sexual harassment,,,r,,,9640.0
2023,number,sexual harassment,,,r,,,10166.0
2024,number,sexual harassment,,,,,,10773.0
2010,number,sexual harassment,,female,,,,6624.0
2011,number,sexual harassment,,female,,,,7050.0
2012,number,sexual harassment,,female,,,,7400.0
2013,number,sexual harassment,,female,,,,7269.0
2014,number,sexual harassment,,female,,,,7381.0
2015,number,sexual harassment,,female,,,,7296.0
2016,number,sexual harassment,,female,,,,7525.0
2017,number,sexual harassment,,female,r,,,7273.0
2018,number,sexual harassment,,female,r,,,7628.0
2019,number,sexual harassment,,female,r,,,6840.0
2020,number,sexual harassment,,female,r,,,7967.0
2021,number,sexual harassment,,female,|,r,,7673.0
2022,number,sexual harassment,,female,r,,,8152.0
2023,number,sexual harassment,,female,r,,,8451.0
2024,number,sexual harassment,,female,,,,8839.0
2010,number,sexual harassment,,male,,,,899.0
2011,number,sexual harassment,,male,,,,961.0
2012,number,sexual harassment,,male,,,,906.0
2013,number,sexual harassment,,male,,,,892.0
2014,number,sexual harassment,,male,,,,975.0
2015,number,sexual harassment,,male,,,,966.0
2016,number,sexual harassment,,male,,,,1074.0
2017,number,sexual harassment,,male,r,,,1077.0
2018,number,sexual harassment,,male,r,,,1189.0
2019,number,sexual harassment,,male,r,,,1191.0
2020,number,sexual harassment,,male,r,,,1352.0
2021,number,sexual harassment,,male,|,r,,1362.0
2022,number,sexual harassment,,male,r,,,1488.0
2023,number,sexual harassment,,male,r,,,1715.0
2024,number,sexual harassment,,male,,,,1934.0
2010,number,sexual harassment,13 years and younger,,,,,0.0
2011,number,sexual harassment,13 years and younger,,,,,0.0
2012,number,sexual harassment,13 years and younger,,,,,0.0
2013,number,sexual harassment,13 years and younger,,,,,0.0
2014,number,sexual harassment,13 years and younger,,,,,0.0
2015,number,sexual harassment,13 years and younger,,,,,0.0
2016,number,sexual harassment,13 years and younger,,,,,0.0
2017,number,sexual harassment,13 years and younger,,r,,,0.0
2018,number,sexual harassment,13 years and younger,,r,,,0.0
2019,number,sexual harassment,13 years and younger,,r,,,0.0
2020,number,sexual harassment,13 years and younger,,r,,,0.0
2021,number,sexual harassment,13 years and younger,,|,r,,47.0
2022,number,sexual harassment,13 years and younger,,r,,,144.0
2023,number,sexual harassment,13 years and younger,,r,,,130.0
2024,number,sexual harassment,13 years and younger,,,,,140.0
2010,number,sexual harassment,13 years and younger,female,,,,0.0
2011,number,sexual harassment,13 years and younger,female,,,,0.0
2012,number,sexual harassment,13 years and younger,female,,,,0.0
2013,number,sexual harassment,13 years and younger,female,,,,0.0
2014,number,sexual harassment,13 years and younger,female,,,,0.0
2015,number,sexual harassment,13 years and younger,female,,,,0.0
2016,number,sexual harassment,13 years and younger,female,,,,0.0
2017,number,sexual harassment,13 years and younger,female,r,,,0.0
2018,number,sexual harassment,13 years and younger,female,r,,,0.0
2019,number,sexual harassment,13 years and younger,female,r,,,0.0
2020,number,sexual harassment,13 years and younger,female,r,,,0.0
2021,number,sexual harassment,13 years and younger,female,|,r,,32.0
2022,number,sexual harassment,13 years and younger,female,r,,,118.0
2023,number,sexual harassment,13 years and younger,female,r,,,107.0
2024,number,sexual harassment,13 years and younger,female,,,,91.0
2010,number,sexual harassment,13 years and younger,male,,,,0.0
2011,number,sexual harassment,13 years and younger,male,,,,0.0
2012,number,sexual harassment,13 years and younger,male,,,,0.0
2013,number,sexual harassment,13 years and younger,male,,,,0.0
2014,number,sexual harassment,13 years and younger,male,,,,0.0
2015,number,sexual harassment,13 years and younger,male,,,,0.0
2016,number,sexual harassment,13 years and younger,male,,,,0.0
2017,number,sexual harassment,13 years and younger,male,r,,,0.0
2018,number,sexual harassment,13 years and younger,male,r,,,0.0
2019,number,sexual harassment,13 years and younger,male,r,,,0.0
2020,number,sexual harassment,13 years and younger,male,r,,,0.0
2021,number,sexual harassment,13 years and younger,male,|,r,,15.0
2022,number,sexual harassment,13 years and younger,male,r,,,26.0
2023,number,sexual harassment,13 years and younger,male,r,,,23.0
2024,number,sexual harassment,13 years and younger,male,,,,49.0
2010,number,sexual harassment,14 to under 18 years,,,,,1267.0
2011,number,sexual harassment,14 to under 18 years,,,,,1362.0
2012,number,sexual harassment,14 to under 18 years,,,,,1356.0
2013,number,sexual harassment,14 to under 18 years,,,,,1384.0
2014,number,sexual harassment,14 to under 18 years,,,,,1368.0
2015,number,sexual harassment,14 to under 18 years,,,,,1245.0
2016,number,sexual harassment,14 to under 18 years,,,,,1149.0
2017,number,sexual harassment,14 to under 18 years,,r,,,1104.0
2018,number,sexual harassment,14 to under 18 years,,r,,,1110.0
2019,number,sexual harassment,14 to under 18 years,,r,,,931.0
2020,number,sexual harassment,14 to under 18 years,,r,,,1067.0
2021,number,sexual harassment,14 to under 18 years,,|,r,,1070.0
2022,number,sexual harassment,14 to under 18 years,,r,,,1243.0
2023,number,sexual harassment,14 to under 18 years,,r,,,1208.0
2024,number,sexual harassment,14 to under 18 years,,,,,1367.0
2010,number,sexual harassment,14 to under 18 years,female,,,,1112.0
2011,number,sexual harassment,14 to under 18 years,female,,,,1217.0
2012,number,sexual harassment,14 to under 18 years,female,,,,1221.0
2013,number,sexual harassment,14 to under 18 years,female,,,,1235.0
2014,number,sexual harassment,14 to under 18 years,female,,,,1228.0
2015,number,sexual harassment,14 to under 18 years,female,,,,1151.0
2016,number,sexual harassment,14 to under 18 years,female,,,,1024.0
2017,number,sexual harassment,14 to under 18 years,female,r,,,955.0
2018,number,sexual harassment,14 to under 18 years,female,r,,,958.0
2019,number,sexual harassment,14 to under 18 years,female,r,,,811.0
2020,number,sexual harassment,14 to under 18 years,female,r,,,928.0
2021,number,sexual harassment,14 to under 18 years,female,|,r,,936.0
2022,number,sexual harassment,14 to under 18 years,female,r,,,1076.0
2023,number,sexual harassment,14 to under 18 years,female,r,,,1022.0
2024,number,sexual harassment,14 to under 18 years,female,,,,1152.0
2010,number,sexual harassment,14 to under 18 years,male,,,,155.0
2011,number,sexual harassment,14 to under 18 years,male,,,,145.0
2012,number,sexual harassment,14 to under 18 years,male,,,,135.0
2013,number,sexual harassment,14 to under 18 years,male,,,,149.0
2014,number,sexual harassment,14 to under 18 years,male,,,,140.0
2015,number,sexual harassment,14 to under 18 years,male,,,,94.0
2016,number,sexual harassment,14 to under 18 years,male,,,,125.0
2017,number,sexual harassment,14 to under 18 years,male,r,,,149.0
2018,number,sexual harassment,14 to under 18 years,male,r,,,152.0
2019,number,sexual harassment,14 to under 18 years,male,r,,,120.0
2020,number,sexual harassment,14 to under 18 years,male,r,,,139.0
2021,number,sexual harassment,14 to under 18 years,male,|,r,,134.0
2022,number,sexual harassment,14 to under 18 years,male,r,,,167.0
2023,number,sexual harassment,14 to under 18 years,male,r,,,186.0
2024,number,sexual harassment,14 to under 18 years,male,,,,215.0
2010,number,sexual harassment,18 to under 21 years,,,,,796.0
2011,number,sexual harassment,18 to under 21 years,,,,,811.0
2012,number,sexual harassment,18 to under 21 years,,,,,808.0
2013,number,sexual harassment,18 to under 21 years,,,,,752.0
2014,number,sexual harassment,18 to under 21 years,,,,,809.0
2015,number,sexual harassment,18 to under 21 years,,,,,803.0
2016,number,sexual harassment,18 to under 21 years,,,,,776.0
2017,number,sexual harassment,18 to under 21 years,,r,,,931.0
2018,number,sexual harassment,18 to under 21 years,,r,,,878.0
2019,number,sexual harassment,18 to under 21 years,,r,,,725.0
2020,number,sexual harassment,18 to under 21 years,,r,,,969.0
2021,number,sexual harassment,18 to under 21 years,,|,r,,883.0
2022,number,sexual harassment,18 to under 21 years,,r,,,925.0
2023,number,sexual harassment,18 to under 21 years,,r,,,934.0
2024,number,sexual harassment,18 to under 21 years,,,,,1040.0
2010,number,sexual harassment,18 to under 21 years,female,,,,728.0
2011,number,sexual harassment,18 to under 21 years,female,,,,747.0
2012,number,sexual harassment,18 to under 21 years,female,,,,752.0
2013,number,sexual harassment,18 to under 21 years,female,,,,694.0
2014,number,sexual harassment,18 to under 21 years,female,,,,754.0
2015,number,sexual harassment,18 to under 21 years,female,,,,740.0
2016,number,sexual harassment,18 to under 21 years,female,,,,702.0
2017,number,sexual harassment,18 to under 21 years,female,r,,,858.0
2018,number,sexual harassment,18 to under 21 years,female,r,,,783.0
2019,number,sexual harassment,18 to under 21 years,female,r,,,640.0
2020,number,sexual harassment,18 to under 21 years,female,r,,,876.0
2021,number,sexual harassment,18 to under 21 years,female,|,r,,789.0
2022,number,sexual harassment,18 to under 21 years,female,r,,,826.0
2023,number,sexual harassment,18 to under 21 years,female,r,,,825.0
2024,number,sexual harassment,18 to under 21 years,female,,,,901.0
2010,number,sexual harassment,18 to under 21 years,male,,,,68.0
2011,number,sexual harassment,18 to under 21 years,male,,,,64.0
2012,number,sexual harassment,18 to under 21 years,male,,,,56.0
2013,number,sexual harassment,18 to under 21 years,male,,,,58.0
2014,number,sexual harassment,18 to under 21 years,male,,,,55.0
2015,number,sexual harassment,18 to under 21 years,male,,,,63.0
2016,number,sexual harassment,18 to under 21 years,male,,,,74.0
2017,number,sexual harassment,18 to under 21 years,male,r,,,73.0
2018,number,sexual harassment,18 to under 21 years,male,r,,,95.0
2019,number,sexual harassment,18 to under 21 years,male,r,,,85.0
2020,number,sexual harassment,18 to under 21 years,male,r,,,93.0
2021,number,sexual harassment,18 to under 21 years,male,|,r,,94.0
2022,number,sexual harassment,18 to under 21 years,male,r,,,99.0
2023,number,sexual harassment,18 to under 21 years,male,r,,,109.0
2024,number,sexual harassment,18 to under 21 years,male,,,,139.0
2010,number,sexual harassment,21 to under 60 years,,,,,4797.0
2011,number,sexual harassment,21 to under 60 years,,,,,5125.0
2012,number,sexual harassment,21 to under 60 years,,,,,5438.0
2013,number,sexual harassment,21 to under 60 years,,,,,5293.0
2014,number,sexual harassment,21 to under 60 years,,,,,5463.0
2015,number,sexual harassment,21 to under 60 years,,,,,5446.0
2016,number,sexual harassment,21 to under 60 years,,,,,5894.0
2017,number,sexual harassment,21 to under 60 years,,r,,,5565.0
2018,number,sexual harassment,21 to under 60 years,,r,,,6020.0
2019,number,sexual harassment,21 to under 60 years,,r,,,5637.0
2020,number,sexual harassment,21 to under 60 years,,r,,,6486.0
2021,number,sexual harassment,21 to under 60 years,,|,r,,6245.0
2022,number,sexual harassment,21 to under 60 years,,r,,,6542.0
2023,number,sexual harassment,21 to under 60 years,,r,,,6985.0
2024,number,sexual harassment,21 to under 60 years,,,,,7309.0
2010,number,sexual harassment,21 to under 60 years,female,,,,4192.0
2011,number,sexual harassment,21 to under 60 years,female,,,,4468.0
2012,number,sexual harassment,21 to under 60 years,female,,,,4801.0
2013,number,sexual harassment,21 to under 60 years,female,,,,4672.0
2014,number,sexual harassment,21 to under 60 years,female,,,,4761.0
2015,number,sexual harassment,21 to under 60 years,female,,,,4734.0
2016,number,sexual harassment,21 to under 60 years,female,,,,5097.0
2017,number,sexual harassment,21 to under 60 years,female,r,,,4802.0
2018,number,sexual harassment,21 to under 60 years,female,r,,,5198.0
2019,number,sexual harassment,21 to under 60 years,female,r,,,4727.0
2020,number,sexual harassment,21 to under 60 years,female,r,,,5487.0
2021,number,sexual harassment,21 to under 60 years,female,|,r,,5227.0
2022,number,sexual harassment,21 to under 60 years,female,r,,,5461.0
2023,number,sexual harassment,21 to under 60 years,female,r,,,5753.0
2024,number,sexual harassment,21 to under 60 years,female,,,,5948.0
2010,number,sexual harassment,21 to under 60 years,male,,,,605.0
2011,number,sexual harassment,21 to under 60 years,male,,,,657.0
2012,number,sexual harassment,21 to under 60 years,male,,,,637.0
2013,number,sexual harassment,21 to under 60 years,male,,,,621.0
2014,number,sexual harassment,21 to under 60 years,male,,,,702.0
2015,number,sexual harassment,21 to under 60 years,male,,,,712.0
2016,number,sexual harassment,21 to under 60 years,male,,,,797.0
2017,number,sexual harassment,21 to under 60 years,male,r,,,763.0
2018,number,sexual harassment,21 to under 60 years,male,r,,,822.0
2019,number,sexual harassment,21 to under 60 years,male,r,,,910.0
2020,number,sexual harassment,21 to under 60 years,male,r,,,999.0
2021,number,sexual harassment,21 to under 60 years,male,|,r,,1018.0
2022,number,sexual harassment,21 to under 60 years,male,r,,,1081.0
2023,number,sexual harassment,21 to under 60 years,male,r,,,1232.0
2024,number,sexual harassment,21 to under 60 years,male,,,,1361.0
2010,number,sexual harassment,60 years and older,,,,,663.0
2011,number,sexual harassment,60 years and older,,,,,713.0
2012,number,sexual harassment,60 years and older,,,,,704.0
2013,number,sexual harassment,60 years and older,,,,,732.0
2014,number,sexual harassment,60 years and older,,,,,716.0
2015,number,sexual harassment,60 years and older,,,,,768.0
2016,number,sexual harassment,60 years and older,,,,,780.0
2017,number,sexual harassment,60 years and older,,r,,,750.0
2018,number,sexual harassment,60 years and older,,r,,,809.0
2019,number,sexual harassment,60 years and older,,r,,,738.0
2020,number,sexual harassment,60 years and older,,r,,,797.0
2021,number,sexual harassment,60 years and older,,|,r,,790.0
2022,number,sexual harassment,60 years and older,,r,,,786.0
2023,number,sexual harassment,60 years and older,,r,,,909.0
2024,number,sexual harassment,60 years and older,,,,,917.0
2010,number,sexual harassment,60 years and older,female,,,,592.0
2011,number,sexual harassment,60 years and older,female,,,,618.0
2012,number,sexual harassment,60 years and older,female,,,,626.0
2013,number,sexual harassment,60 years and older,female,,,,668.0
2014,number,sexual harassment,60 years and older,female,,,,638.0
2015,number,sexual harassment,60 years and older,female,,,,671.0
2016,number,sexual harassment,60 years and older,female,,,,702.0
2017,number,sexual harassment,60 years and older,female,r,,,658.0
2018,number,sexual harassment,60 years and older,female,r,,,689.0
2019,number,sexual harassment,60 years and older,female,r,,,662.0
2020,number,sexual harassment,60 years and older,female,r,,,676.0
2021,number,sexual harassment,60 years and older,female,|,r,,689.0
2022,number,sexual harassment,60 years and older,female,r,,,671.0
2023,number,sexual harassment,60 years and older,female,r,,,744.0
2024,number,sexual harassment,60 years and older,female,,,,747.0
2010,number,sexual harassment,60 years and older,male,,,,71.0
2011,number,sexual harassment,60 years and older,male,,,,95.0
2012,number,sexual harassment,60 years and older,male,,,,78.0
2013,number,sexual harassment,60 years and older,male,,,,64.0
2014,number,sexual harassment,60 years and older,male,,,,78.0
2015,number,sexual harassment,60 years and older,male,,,,97.0
2016,number,sexual harassment,60 years and older,male,,,,78.0
2017,number,sexual harassment,60 years and older,male,r,,,92.0
2018,number,sexual harassment,60 years and older,male,r,,,120.0
2019,number,sexual harassment,60 years and older,male,r,,,76.0
2020,number,sexual harassment,60 years and older,male,r,,,121.0
2021,number,sexual harassment,60 years and older,male,|,r,,101.0
2022,number,sexual harassment,60 years and older,male,r,,,115.0
2023,number,sexual harassment,60 years and older,male,r,,,165.0
2024,number,sexual harassment,60 years and older,male,,,,170.0
2010,percentage,non-sexual harassment,,,,,,0.0353
2011,percentage,non-sexual harassment,,,,,,0.0335
2012,percentage,non-sexual harassment,,,,,,0.0328
2013,percentage,non-sexual harassment,,,,,,0.0317
2014,percentage,non-sexual harassment,,,,,,0.0289
2015,percentage,non-sexual harassment,,,,,,0.0259
2016,percentage,non-sexual harassment,,,,,,0.0244
2017,percentage,non-sexual harassment,,,,,,0.0241
2018,percentage,non-sexual harassment,,,,,,0.0247
2019,percentage,non-sexual harassment,,,,,,0.0246
2020,percentage,non-sexual harassment,,,,,,0.0256
2021,percentage,non-sexual harassment,,,,,,0.0269
2022,percentage,non-sexual harassment,,,,,,0.028
2023,percentage,non-sexual harassment,,,,,,0.0302
2024,percentage,non-sexual harassment,,,,,,0.032
2010,percentage,non-sexual harassment,,female,,,,0.055
2011,percentage,non-sexual harassment,,female,,,,0.0521
2012,percentage,non-sexual harassment,,female,,,,0.0516
2013,percentage,non-sexual harassment,,female,,,,0.0498
2014,percentage,non-sexual harassment,,female,,,,0.0454
2015,percentage,non-sexual harassment,,female,,,,0.041
2016,percentage,non-sexual harassment,,female,,,,0.0388
2017,percentage,non-sexual harassment,,female,,,,0.0385
2018,percentage,non-sexual harassment,,female,,,,0.0395
2019,percentage,non-sexual harassment,,female,,,,0.0394
2020,percentage,non-sexual harassment,,female,,,,0.0408
2021,percentage,non-sexual harassment,,female,,,,0.0426
2022,percentage,non-sexual harassment,,female,,,,0.0445
2023,percentage,non-sexual harassment,,female,,,,0.0476
2024,percentage,non-sexual harassment,,female,,,,0.0505
2010,percentage,non-sexual harassment,,male,,,,0.0149
2011,percentage,non-sexual harassment,,male,,,,0.0139
2012,percentage,non-sexual harassment,,male,,,,0.0131
2013,percentage,non-sexual harassment,,male,,,,0.0128
2014,percentage,non-sexual harassment,,male,,,,0.0117
2015,percentage,non-sexual harassment,,male,,,,0.0103
2016,percentage,non-sexual harassment,,male,,,,0.0095
2017,percentage,non-sexual harassment,,male,,,,0.0093
2018,percentage,non-sexual harassment,,male,,,,0.0094
2019,percentage,non-sexual harassment,,male,,,,0.0093
2020,percentage,non-sexual harassment,,male,,,,0.0099
2021,percentage,non-sexual harassment,,male,,,,0.0109
2022,percentage,non-sexual harassment,,male,,,,0.011
2023,percentage,non-sexual harassment,,male,,,,0.0123
2024,percentage,non-sexual harassment,,male,,,,0.0129
2010,percentage,non-sexual harassment,13 years and younger,,0,,,0.0043
2011,percentage,non-sexual harassment,13 years and younger,,0,,,0.0045
2012,percentage,non-sexual harassment,13 years and younger,,0,,,0.0047
2013,percentage,non-sexual harassment,13 years and younger,,0,,,0.0047
2014,percentage,non-sexual harassment,13 years and younger,,0,,,0.0042
2015,percentage,non-sexual harassment,13 years and younger,,0,,,0.0037
2016,percentage,non-sexual harassment,13 years and younger,,0,,,0.0036
2017,percentage,non-sexual harassment,13 years and younger,,0,,,0.0036
2018,percentage,non-sexual harassment,13 years and younger,,0,,,0.0036
2019,percentage,non-sexual harassment,13 years and younger,,0,,,0.0041
2020,percentage,non-sexual harassment,13 years and younger,,0,,,0.0039
2021,percentage,non-sexual harassment,13 years and younger,,0,,,0.0041
2022,percentage,non-sexual harassment,13 years and younger,,0,,,0.0043
2023,percentage,non-sexual harassment,13 years and younger,,,,,0.0053
2024,percentage,non-sexual harassment,13 years and younger,,,,,0.0063
2010,percentage,non-sexual harassment,13 years and younger,female,,,,0.0055
2011,percentage,non-sexual harassment,13 years and younger,female,,,,0.0059
2012,percentage,non-sexual harassment,13 years and younger,female,,,,0.007
2013,percentage,non-sexual harassment,13 years and younger,female,,,,0.0062
2014,percentage,non-sexual harassment,13 years and younger,female,,,,0.0059
2015,percentage,non-sexual harassment,13 years and younger,female,0,,,0.0049
2016,percentage,non-sexual harassment,13 years and younger,female,0,,,0.0048
2017,percentage,non-sexual harassment,13 years and younger,female,0,,,0.0046
2018,percentage,non-sexual harassment,13 years and younger,female,,,,0.0051
2019,percentage,non-sexual harassment,13 years and younger,female,,,,0.0051
2020,percentage,non-sexual harassment,13 years and younger,female,0,,,0.0047
2021,percentage,non-sexual harassment,13 years and younger,female,,,,0.0055
2022,percentage,non-sexual harassment,13 years and younger,female,,,,0.006
2023,percentage,non-sexual harassment,13 years and younger,female,,,,0.0067
2024,percentage,non-sexual harassment,13 years and younger,female,,,,0.0076
2010,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0033
2011,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0032
2012,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0026
2013,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0033
2014,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0025
2015,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0026
2016,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0024
2017,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0026
2018,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0022
2019,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0032
2020,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0031
2021,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0028
2022,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0027
2023,percentage,non-sexual harassment,13 years and younger,male,0,,,0.0041
2024,percentage,non-sexual harassment,13 years and younger,male,0,,,0.005
2010,percentage,non-sexual harassment,14 to under 18 years,,,,,0.04
2011,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0308
2012,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0277
2013,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0287
2014,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0268
2015,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0207
2016,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0207
2017,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0216
2018,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0212
2019,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0221
2020,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0203
2021,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0217
2022,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0272
2023,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0301
2024,percentage,non-sexual harassment,14 to under 18 years,,,,,0.0327
2010,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0722
2011,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.056
2012,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0512
2013,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0524
2014,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0489
2015,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0375
2016,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0378
2017,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0387
2018,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0396
2019,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.039
2020,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0347
2021,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0373
2022,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0468
2023,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0527
2024,percentage,non-sexual harassment,14 to under 18 years,female,,,,0.0545
2010,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0095
2011,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0069
2012,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0054
2013,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0063
2014,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0059
2015,percentage,non-sexual harassment,14 to under 18 years,male,0,,,0.005
2016,percentage,non-sexual harassment,14 to under 18 years,male,0,,,0.0048
2017,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0056
2018,percentage,non-sexual harassment,14 to under 18 years,male,0,,,0.0038
2019,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0061
2020,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0067
2021,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0069
2022,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0087
2023,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0089
2024,percentage,non-sexual harassment,14 to under 18 years,male,,,,0.0123
2010,percentage,non-sexual harassment,18 to under 21 years,,,,,0.0888
2011,percentage,non-sexual harassment,18 to under 21 years,,,,,0.0848
2012,percentage,non-sexual harassment,18 to under 21 years,,,,,0.0812
2013,percentage,non-sexual harassment,18 to under 21 years,,,,,0.0718
2014,percentage,non-sexual harassment,18 to under 21 years,,,,,0.0673
