Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00075
2011,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00054
2012,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00088
2013,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00084
2014,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00054
2015,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00055
2016,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00065
2017,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.0006
2018,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00064
2019,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00036
2020,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.0009
2021,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.0009
2022,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00052
2023,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00074
2024,Prozent,13 Jahre und jünger,Weiblich,,0,,,0.00038
2010,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00077
2011,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00104
2012,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00109
2013,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00062
2014,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00084
2015,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00077
2016,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00078
2017,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00079
2018,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00081
2019,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00058
2020,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00072
2021,Prozent,13 Jahre und jünger,Männlich,,0,,,0.0008
2022,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00044
2023,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00059
2024,Prozent,13 Jahre und jünger,Männlich,,0,,,0.00065
2010,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00089
2011,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00062
2012,Prozent,14 bis unter 18 Jahre,Weiblich,,‒,,,0.0
2013,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00021
2014,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00026
2015,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00048
2016,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00118
2017,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.0
2018,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00044
2019,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00022
2020,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00022
2021,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00039
2022,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00082
2023,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00054
2024,Prozent,14 bis unter 18 Jahre,Weiblich,,0,,,0.00047
2010,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00048
2011,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00074
2012,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00029
2013,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00039
2014,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00049
2015,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00025
2016,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00065
2017,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00015
2018,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00031
2019,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00037
2020,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00042
2021,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00037
2022,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00013
2023,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.00056
2024,Prozent,14 bis unter 18 Jahre,Männlich,,0,,,0.0005
2010,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.0014
2011,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00081
2012,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00083
2013,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.0005
2014,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00075
2015,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00073
2016,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00145
2017,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00057
2018,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00099
2019,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00042
2020,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00052
2021,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00036
2022,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.0007
2023,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00078
2024,Prozent,18 bis unter 21 Jahre,Weiblich,,0,,,0.00111
2010,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00133
2011,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00146
2012,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00102
2013,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00072
2014,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00087
2015,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00066
2016,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00182
2017,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00066
2018,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00105
2019,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00085
2020,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00121
2021,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00125
2022,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00124
2023,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.00072
2024,Prozent,18 bis unter 21 Jahre,Männlich,,0,,,0.0011
2010,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00093
2011,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00084
2012,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00065
2013,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00074
2014,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00084
2015,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00066
2016,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00111
2017,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00083
2018,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00087
2019,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00069
2020,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00068
2021,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00068
2022,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00066
2023,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00089
2024,Prozent,21 bis unter 60 Jahre,Weiblich,,0,,,0.00073
2010,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.0011
2011,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00112
2012,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00101
2013,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.001
2014,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00103
2015,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00091
2016,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00132
2017,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00108
2018,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00119
2019,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00094
2020,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.0011
2021,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00092
2022,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00093
2023,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00115
2024,Prozent,21 bis unter 60 Jahre,Männlich,,0,,,0.00123
2010,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00101
2011,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00093
2012,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00089
2013,Prozent,60 Jahre und älter,Weiblich,,0,,,0.001
2014,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00098
2015,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00115
2016,Prozent,60 Jahre und älter,Weiblich,,0,,,0.0013
2017,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00133
2018,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00104
2019,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00082
2020,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00124
2021,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00108
2022,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00124
2023,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00099
2024,Prozent,60 Jahre und älter,Weiblich,,0,,,0.00107
2010,Prozent,60 Jahre und älter,Männlich,,0,,,0.00093
2011,Prozent,60 Jahre und älter,Männlich,,0,,,0.00077
2012,Prozent,60 Jahre und älter,Männlich,,0,,,0.00076
2013,Prozent,60 Jahre und älter,Männlich,,0,,,0.00093
2014,Prozent,60 Jahre und älter,Männlich,,0,,,0.00093
2015,Prozent,60 Jahre und älter,Männlich,,0,,,0.00102
2016,Prozent,60 Jahre und älter,Männlich,,0,,,0.00125
2017,Prozent,60 Jahre und älter,Männlich,,0,,,0.0014
2018,Prozent,60 Jahre und älter,Männlich,,0,,,0.00096
2019,Prozent,60 Jahre und älter,Männlich,,0,,,0.00089
2020,Prozent,60 Jahre und älter,Männlich,,0,,,0.0012
2021,Prozent,60 Jahre und älter,Männlich,,0,,,0.00091
2022,Prozent,60 Jahre und älter,Männlich,,0,,,0.00089
2023,Prozent,60 Jahre und älter,Männlich,,0,,,0.00088
2024,Prozent,60 Jahre und älter,Männlich,,0,,,0.00105
