Year,Units,Type of harassment,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1586.0
2014,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1477.0
2015,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1265.0
2016,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1136.0
2017,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1214.0
2018,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1298.0
2019,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1149.0
2020,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1252.0
2021,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1226.0
2022,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1174.0
2023,Number,Non-sexual harassment,18 to under 21 years,Female,r,,,1223.0
2024,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1388.0
2010,Number,Non-sexual harassment,18 to under 21 years,Male,,,,282.0
2011,Number,Non-sexual harassment,18 to under 21 years,Male,,,,256.0
2012,Number,Non-sexual harassment,18 to under 21 years,Male,,,,232.0
2013,Number,Non-sexual harassment,18 to under 21 years,Male,,,,183.0
2014,Number,Non-sexual harassment,18 to under 21 years,Male,,,,177.0
2015,Number,Non-sexual harassment,18 to under 21 years,Male,,,,137.0
2016,Number,Non-sexual harassment,18 to under 21 years,Male,,,,117.0
2017,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,126.0
2018,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,164.0
2019,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,130.0
2020,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,133.0
2021,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,167.0
2022,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,147.0
2023,Number,Non-sexual harassment,18 to under 21 years,Male,r,,,198.0
2024,Number,Non-sexual harassment,18 to under 21 years,Male,,,,205.0
2010,Number,Non-sexual harassment,21 to under 60 years,,,,,23019.0
2011,Number,Non-sexual harassment,21 to under 60 years,,,,,21536.0
2012,Number,Non-sexual harassment,21 to under 60 years,,,,,21296.0
2013,Number,Non-sexual harassment,21 to under 60 years,,,,,20738.0
2014,Number,Non-sexual harassment,21 to under 60 years,,,,,18814.0
2015,Number,Non-sexual harassment,21 to under 60 years,,,,,17239.0
2016,Number,Non-sexual harassment,21 to under 60 years,,,,,16303.0
2017,Number,Non-sexual harassment,21 to under 60 years,,r,,,16060.0
2018,Number,Non-sexual harassment,21 to under 60 years,,r,,,16423.0
2019,Number,Non-sexual harassment,21 to under 60 years,,r,,,16440.0
2020,Number,Non-sexual harassment,21 to under 60 years,,r,,,17193.0
2021,Number,Non-sexual harassment,21 to under 60 years,,r,,,18068.0
2022,Number,Non-sexual harassment,21 to under 60 years,,r,,,18925.0
2023,Number,Non-sexual harassment,21 to under 60 years,,r,,,20453.0
2024,Number,Non-sexual harassment,21 to under 60 years,,,,,21639.0
2010,Number,Non-sexual harassment,21 to under 60 years,Female,,,,18342.0
2011,Number,Non-sexual harassment,21 to under 60 years,Female,,,,17238.0
2012,Number,Non-sexual harassment,21 to under 60 years,Female,,,,17207.0
2013,Number,Non-sexual harassment,21 to under 60 years,Female,,,,16679.0
2014,Number,Non-sexual harassment,21 to under 60 years,Female,,,,15118.0
2015,Number,Non-sexual harassment,21 to under 60 years,Female,,,,13916.0
2016,Number,Non-sexual harassment,21 to under 60 years,Female,,,,13260.0
2017,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,13064.0
2018,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,13403.0
2019,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,13504.0
2020,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,14027.0
2021,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,14625.0
2022,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,15432.0
2023,Number,Non-sexual harassment,21 to under 60 years,Female,r,,,16583.0
2024,Number,Non-sexual harassment,21 to under 60 years,Female,,,,17639.0
2010,Number,Non-sexual harassment,21 to under 60 years,Male,,,,4677.0
2011,Number,Non-sexual harassment,21 to under 60 years,Male,,,,4298.0
2012,Number,Non-sexual harassment,21 to under 60 years,Male,,,,4089.0
2013,Number,Non-sexual harassment,21 to under 60 years,Male,,,,4059.0
2014,Number,Non-sexual harassment,21 to under 60 years,Male,,,,3696.0
2015,Number,Non-sexual harassment,21 to under 60 years,Male,,,,3323.0
2016,Number,Non-sexual harassment,21 to under 60 years,Male,,,,3043.0
2017,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,2996.0
2018,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,3020.0
2019,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,2936.0
2020,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,3166.0
2021,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,3443.0
2022,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,3493.0
2023,Number,Non-sexual harassment,21 to under 60 years,Male,r,,,3870.0
2024,Number,Non-sexual harassment,21 to under 60 years,Male,,,,4000.0
2010,Number,Non-sexual harassment,60 years and older,,,,,1652.0
2011,Number,Non-sexual harassment,60 years and older,,,,,1495.0
2012,Number,Non-sexual harassment,60 years and older,,,,,1495.0
2013,Number,Non-sexual harassment,60 years and older,,,,,1440.0
2014,Number,Non-sexual harassment,60 years and older,,,,,1395.0
2015,Number,Non-sexual harassment,60 years and older,,,,,1269.0
2016,Number,Non-sexual harassment,60 years and older,,,,,1251.0
2017,Number,Non-sexual harassment,60 years and older,,r,,,1183.0
2018,Number,Non-sexual harassment,60 years and older,,r,,,1251.0
2019,Number,Non-sexual harassment,60 years and older,,r,,,1266.0
2020,Number,Non-sexual harassment,60 years and older,,r,,,1288.0
2021,Number,Non-sexual harassment,60 years and older,,r,,,1423.0
2022,Number,Non-sexual harassment,60 years and older,,r,,,1554.0
2023,Number,Non-sexual harassment,60 years and older,,r,,,1757.0
2024,Number,Non-sexual harassment,60 years and older,,,,,1771.0
2010,Number,Non-sexual harassment,60 years and older,Female,,,,978.0
2011,Number,Non-sexual harassment,60 years and older,Female,,,,880.0
2012,Number,Non-sexual harassment,60 years and older,Female,,,,905.0
2013,Number,Non-sexual harassment,60 years and older,Female,,,,902.0
2014,Number,Non-sexual harassment,60 years and older,Female,,,,884.0
2015,Number,Non-sexual harassment,60 years and older,Female,,,,823.0
2016,Number,Non-sexual harassment,60 years and older,Female,,,,788.0
2017,Number,Non-sexual harassment,60 years and older,Female,r,,,791.0
2018,Number,Non-sexual harassment,60 years and older,Female,r,,,792.0
2019,Number,Non-sexual harassment,60 years and older,Female,r,,,834.0
2020,Number,Non-sexual harassment,60 years and older,Female,r,,,845.0
2021,Number,Non-sexual harassment,60 years and older,Female,r,,,906.0
2022,Number,Non-sexual harassment,60 years and older,Female,r,,,1023.0
2023,Number,Non-sexual harassment,60 years and older,Female,r,,,1144.0
2024,Number,Non-sexual harassment,60 years and older,Female,,,,1131.0
2010,Number,Non-sexual harassment,60 years and older,Male,,,,674.0
2011,Number,Non-sexual harassment,60 years and older,Male,,,,615.0
2012,Number,Non-sexual harassment,60 years and older,Male,,,,590.0
2013,Number,Non-sexual harassment,60 years and older,Male,,,,538.0
2014,Number,Non-sexual harassment,60 years and older,Male,,,,511.0
2015,Number,Non-sexual harassment,60 years and older,Male,,,,446.0
2016,Number,Non-sexual harassment,60 years and older,Male,,,,463.0
2017,Number,Non-sexual harassment,60 years and older,Male,r,,,392.0
2018,Number,Non-sexual harassment,60 years and older,Male,r,,,459.0
2019,Number,Non-sexual harassment,60 years and older,Male,r,,,432.0
2020,Number,Non-sexual harassment,60 years and older,Male,r,,,443.0
2021,Number,Non-sexual harassment,60 years and older,Male,r,,,517.0
2022,Number,Non-sexual harassment,60 years and older,Male,r,,,531.0
2023,Number,Non-sexual harassment,60 years and older,Male,r,,,613.0
2024,Number,Non-sexual harassment,60 years and older,Male,,,,640.0
2010,Number,Sexual harassment,,,,,,7523.0
2011,Number,Sexual harassment,,,,,,8011.0
2012,Number,Sexual harassment,,,,,,8306.0
2013,Number,Sexual harassment,,,,,,8161.0
2014,Number,Sexual harassment,,,,,,8356.0
2015,Number,Sexual harassment,,,,,,8262.0
2016,Number,Sexual harassment,,,,,,8599.0
2017,Number,Sexual harassment,,,r,,,8350.0
2018,Number,Sexual harassment,,,r,,,8817.0
2019,Number,Sexual harassment,,,r,,,8031.0
2020,Number,Sexual harassment,,,r,,,9319.0
2021,Number,Sexual harassment,,,|,r,,9035.0
2022,Number,Sexual harassment,,,r,,,9640.0
2023,Number,Sexual harassment,,,r,,,10166.0
2024,Number,Sexual harassment,,,,,,10773.0
2010,Number,Sexual harassment,,Female,,,,6624.0
2011,Number,Sexual harassment,,Female,,,,7050.0
2012,Number,Sexual harassment,,Female,,,,7400.0
2013,Number,Sexual harassment,,Female,,,,7269.0
2014,Number,Sexual harassment,,Female,,,,7381.0
2015,Number,Sexual harassment,,Female,,,,7296.0
2016,Number,Sexual harassment,,Female,,,,7525.0
2017,Number,Sexual harassment,,Female,r,,,7273.0
2018,Number,Sexual harassment,,Female,r,,,7628.0
2019,Number,Sexual harassment,,Female,r,,,6840.0
2020,Number,Sexual harassment,,Female,r,,,7967.0
2021,Number,Sexual harassment,,Female,|,r,,7673.0
2022,Number,Sexual harassment,,Female,r,,,8152.0
2023,Number,Sexual harassment,,Female,r,,,8451.0
2024,Number,Sexual harassment,,Female,,,,8839.0
2010,Number,Sexual harassment,,Male,,,,899.0
2011,Number,Sexual harassment,,Male,,,,961.0
2012,Number,Sexual harassment,,Male,,,,906.0
2013,Number,Sexual harassment,,Male,,,,892.0
2014,Number,Sexual harassment,,Male,,,,975.0
2015,Number,Sexual harassment,,Male,,,,966.0
2016,Number,Sexual harassment,,Male,,,,1074.0
2017,Number,Sexual harassment,,Male,r,,,1077.0
2018,Number,Sexual harassment,,Male,r,,,1189.0
2019,Number,Sexual harassment,,Male,r,,,1191.0
2020,Number,Sexual harassment,,Male,r,,,1352.0
2021,Number,Sexual harassment,,Male,|,r,,1362.0
2022,Number,Sexual harassment,,Male,r,,,1488.0
2023,Number,Sexual harassment,,Male,r,,,1715.0
2024,Number,Sexual harassment,,Male,,,,1934.0
2010,Number,Sexual harassment,13 years and younger,,,,,0.0
2011,Number,Sexual harassment,13 years and younger,,,,,0.0
2012,Number,Sexual harassment,13 years and younger,,,,,0.0
2013,Number,Sexual harassment,13 years and younger,,,,,0.0
2014,Number,Sexual harassment,13 years and younger,,,,,0.0
2015,Number,Sexual harassment,13 years and younger,,,,,0.0
2016,Number,Sexual harassment,13 years and younger,,,,,0.0
2017,Number,Sexual harassment,13 years and younger,,r,,,0.0
2018,Number,Sexual harassment,13 years and younger,,r,,,0.0
2019,Number,Sexual harassment,13 years and younger,,r,,,0.0
2020,Number,Sexual harassment,13 years and younger,,r,,,0.0
2021,Number,Sexual harassment,13 years and younger,,|,r,,47.0
2022,Number,Sexual harassment,13 years and younger,,r,,,144.0
2023,Number,Sexual harassment,13 years and younger,,r,,,130.0
2024,Number,Sexual harassment,13 years and younger,,,,,140.0
2010,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2011,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2012,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2013,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2014,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2015,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2016,Number,Sexual harassment,13 years and younger,Female,,,,0.0
2017,Number,Sexual harassment,13 years and younger,Female,r,,,0.0
2018,Number,Sexual harassment,13 years and younger,Female,r,,,0.0
2019,Number,Sexual harassment,13 years and younger,Female,r,,,0.0
2020,Number,Sexual harassment,13 years and younger,Female,r,,,0.0
2021,Number,Sexual harassment,13 years and younger,Female,|,r,,32.0
2022,Number,Sexual harassment,13 years and younger,Female,r,,,118.0
2023,Number,Sexual harassment,13 years and younger,Female,r,,,107.0
2024,Number,Sexual harassment,13 years and younger,Female,,,,91.0
2010,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2011,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2012,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2013,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2014,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2015,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2016,Number,Sexual harassment,13 years and younger,Male,,,,0.0
2017,Number,Sexual harassment,13 years and younger,Male,r,,,0.0
2018,Number,Sexual harassment,13 years and younger,Male,r,,,0.0
2019,Number,Sexual harassment,13 years and younger,Male,r,,,0.0
2020,Number,Sexual harassment,13 years and younger,Male,r,,,0.0
2021,Number,Sexual harassment,13 years and younger,Male,|,r,,15.0
2022,Number,Sexual harassment,13 years and younger,Male,r,,,26.0
2023,Number,Sexual harassment,13 years and younger,Male,r,,,23.0
2024,Number,Sexual harassment,13 years and younger,Male,,,,49.0
2010,Number,Sexual harassment,14 to under 18 years,,,,,1267.0
2011,Number,Sexual harassment,14 to under 18 years,,,,,1362.0
2012,Number,Sexual harassment,14 to under 18 years,,,,,1356.0
2013,Number,Sexual harassment,14 to under 18 years,,,,,1384.0
2014,Number,Sexual harassment,14 to under 18 years,,,,,1368.0
2015,Number,Sexual harassment,14 to under 18 years,,,,,1245.0
2016,Number,Sexual harassment,14 to under 18 years,,,,,1149.0
2017,Number,Sexual harassment,14 to under 18 years,,r,,,1104.0
2018,Number,Sexual harassment,14 to under 18 years,,r,,,1110.0
2019,Number,Sexual harassment,14 to under 18 years,,r,,,931.0
2020,Number,Sexual harassment,14 to under 18 years,,r,,,1067.0
2021,Number,Sexual harassment,14 to under 18 years,,|,r,,1070.0
2022,Number,Sexual harassment,14 to under 18 years,,r,,,1243.0
2023,Number,Sexual harassment,14 to under 18 years,,r,,,1208.0
2024,Number,Sexual harassment,14 to under 18 years,,,,,1367.0
2010,Number,Sexual harassment,14 to under 18 years,Female,,,,1112.0
2011,Number,Sexual harassment,14 to under 18 years,Female,,,,1217.0
2012,Number,Sexual harassment,14 to under 18 years,Female,,,,1221.0
2013,Number,Sexual harassment,14 to under 18 years,Female,,,,1235.0
2014,Number,Sexual harassment,14 to under 18 years,Female,,,,1228.0
2015,Number,Sexual harassment,14 to under 18 years,Female,,,,1151.0
2016,Number,Sexual harassment,14 to under 18 years,Female,,,,1024.0
2017,Number,Sexual harassment,14 to under 18 years,Female,r,,,955.0
2018,Number,Sexual harassment,14 to under 18 years,Female,r,,,958.0
2019,Number,Sexual harassment,14 to under 18 years,Female,r,,,811.0
2020,Number,Sexual harassment,14 to under 18 years,Female,r,,,928.0
2021,Number,Sexual harassment,14 to under 18 years,Female,|,r,,936.0
2022,Number,Sexual harassment,14 to under 18 years,Female,r,,,1076.0
2023,Number,Sexual harassment,14 to under 18 years,Female,r,,,1022.0
2024,Number,Sexual harassment,14 to under 18 years,Female,,,,1152.0
2010,Number,Sexual harassment,14 to under 18 years,Male,,,,155.0
2011,Number,Sexual harassment,14 to under 18 years,Male,,,,145.0
2012,Number,Sexual harassment,14 to under 18 years,Male,,,,135.0
2013,Number,Sexual harassment,14 to under 18 years,Male,,,,149.0
2014,Number,Sexual harassment,14 to under 18 years,Male,,,,140.0
2015,Number,Sexual harassment,14 to under 18 years,Male,,,,94.0
2016,Number,Sexual harassment,14 to under 18 years,Male,,,,125.0
2017,Number,Sexual harassment,14 to under 18 years,Male,r,,,149.0
2018,Number,Sexual harassment,14 to under 18 years,Male,r,,,152.0
2019,Number,Sexual harassment,14 to under 18 years,Male,r,,,120.0
2020,Number,Sexual harassment,14 to under 18 years,Male,r,,,139.0
2021,Number,Sexual harassment,14 to under 18 years,Male,|,r,,134.0
2022,Number,Sexual harassment,14 to under 18 years,Male,r,,,167.0
2023,Number,Sexual harassment,14 to under 18 years,Male,r,,,186.0
2024,Number,Sexual harassment,14 to under 18 years,Male,,,,215.0
2010,Number,Sexual harassment,18 to under 21 years,,,,,796.0
2011,Number,Sexual harassment,18 to under 21 years,,,,,811.0
2012,Number,Sexual harassment,18 to under 21 years,,,,,808.0
2013,Number,Sexual harassment,18 to under 21 years,,,,,752.0
2014,Number,Sexual harassment,18 to under 21 years,,,,,809.0
2015,Number,Sexual harassment,18 to under 21 years,,,,,803.0
2016,Number,Sexual harassment,18 to under 21 years,,,,,776.0
2017,Number,Sexual harassment,18 to under 21 years,,r,,,931.0
2018,Number,Sexual harassment,18 to under 21 years,,r,,,878.0
2019,Number,Sexual harassment,18 to under 21 years,,r,,,725.0
2020,Number,Sexual harassment,18 to under 21 years,,r,,,969.0
2021,Number,Sexual harassment,18 to under 21 years,,|,r,,883.0
2022,Number,Sexual harassment,18 to under 21 years,,r,,,925.0
2023,Number,Sexual harassment,18 to under 21 years,,r,,,934.0
2024,Number,Sexual harassment,18 to under 21 years,,,,,1040.0
2010,Number,Sexual harassment,18 to under 21 years,Female,,,,728.0
2011,Number,Sexual harassment,18 to under 21 years,Female,,,,747.0
2012,Number,Sexual harassment,18 to under 21 years,Female,,,,752.0
2013,Number,Sexual harassment,18 to under 21 years,Female,,,,694.0
2014,Number,Sexual harassment,18 to under 21 years,Female,,,,754.0
2015,Number,Sexual harassment,18 to under 21 years,Female,,,,740.0
2016,Number,Sexual harassment,18 to under 21 years,Female,,,,702.0
2017,Number,Sexual harassment,18 to under 21 years,Female,r,,,858.0
2018,Number,Sexual harassment,18 to under 21 years,Female,r,,,783.0
2019,Number,Sexual harassment,18 to under 21 years,Female,r,,,640.0
2020,Number,Sexual harassment,18 to under 21 years,Female,r,,,876.0
2021,Number,Sexual harassment,18 to under 21 years,Female,|,r,,789.0
2022,Number,Sexual harassment,18 to under 21 years,Female,r,,,826.0
2023,Number,Sexual harassment,18 to under 21 years,Female,r,,,825.0
2024,Number,Sexual harassment,18 to under 21 years,Female,,,,901.0
2010,Number,Sexual harassment,18 to under 21 years,Male,,,,68.0
2011,Number,Sexual harassment,18 to under 21 years,Male,,,,64.0
2012,Number,Sexual harassment,18 to under 21 years,Male,,,,56.0
2013,Number,Sexual harassment,18 to under 21 years,Male,,,,58.0
2014,Number,Sexual harassment,18 to under 21 years,Male,,,,55.0
2015,Number,Sexual harassment,18 to under 21 years,Male,,,,63.0
2016,Number,Sexual harassment,18 to under 21 years,Male,,,,74.0
2017,Number,Sexual harassment,18 to under 21 years,Male,r,,,73.0
2018,Number,Sexual harassment,18 to under 21 years,Male,r,,,95.0
2019,Number,Sexual harassment,18 to under 21 years,Male,r,,,85.0
2020,Number,Sexual harassment,18 to under 21 years,Male,r,,,93.0
2021,Number,Sexual harassment,18 to under 21 years,Male,|,r,,94.0
2022,Number,Sexual harassment,18 to under 21 years,Male,r,,,99.0
2023,Number,Sexual harassment,18 to under 21 years,Male,r,,,109.0
2024,Number,Sexual harassment,18 to under 21 years,Male,,,,139.0
2010,Number,Sexual harassment,21 to under 60 years,,,,,4797.0
2011,Number,Sexual harassment,21 to under 60 years,,,,,5125.0
2012,Number,Sexual harassment,21 to under 60 years,,,,,5438.0
2013,Number,Sexual harassment,21 to under 60 years,,,,,5293.0
2014,Number,Sexual harassment,21 to under 60 years,,,,,5463.0
2015,Number,Sexual harassment,21 to under 60 years,,,,,5446.0
2016,Number,Sexual harassment,21 to under 60 years,,,,,5894.0
2017,Number,Sexual harassment,21 to under 60 years,,r,,,5565.0
2018,Number,Sexual harassment,21 to under 60 years,,r,,,6020.0
2019,Number,Sexual harassment,21 to under 60 years,,r,,,5637.0
2020,Number,Sexual harassment,21 to under 60 years,,r,,,6486.0
2021,Number,Sexual harassment,21 to under 60 years,,|,r,,6245.0
2022,Number,Sexual harassment,21 to under 60 years,,r,,,6542.0
2023,Number,Sexual harassment,21 to under 60 years,,r,,,6985.0
2024,Number,Sexual harassment,21 to under 60 years,,,,,7309.0
2010,Number,Sexual harassment,21 to under 60 years,Female,,,,4192.0
2011,Number,Sexual harassment,21 to under 60 years,Female,,,,4468.0
2012,Number,Sexual harassment,21 to under 60 years,Female,,,,4801.0
2013,Number,Sexual harassment,21 to under 60 years,Female,,,,4672.0
2014,Number,Sexual harassment,21 to under 60 years,Female,,,,4761.0
2015,Number,Sexual harassment,21 to under 60 years,Female,,,,4734.0
2016,Number,Sexual harassment,21 to under 60 years,Female,,,,5097.0
2017,Number,Sexual harassment,21 to under 60 years,Female,r,,,4802.0
2018,Number,Sexual harassment,21 to under 60 years,Female,r,,,5198.0
2019,Number,Sexual harassment,21 to under 60 years,Female,r,,,4727.0
2020,Number,Sexual harassment,21 to under 60 years,Female,r,,,5487.0
2021,Number,Sexual harassment,21 to under 60 years,Female,|,r,,5227.0
2022,Number,Sexual harassment,21 to under 60 years,Female,r,,,5461.0
2023,Number,Sexual harassment,21 to under 60 years,Female,r,,,5753.0
2024,Number,Sexual harassment,21 to under 60 years,Female,,,,5948.0
2010,Number,Sexual harassment,21 to under 60 years,Male,,,,605.0
2011,Number,Sexual harassment,21 to under 60 years,Male,,,,657.0
2012,Number,Sexual harassment,21 to under 60 years,Male,,,,637.0
2013,Number,Sexual harassment,21 to under 60 years,Male,,,,621.0
2014,Number,Sexual harassment,21 to under 60 years,Male,,,,702.0
2015,Number,Sexual harassment,21 to under 60 years,Male,,,,712.0
2016,Number,Sexual harassment,21 to under 60 years,Male,,,,797.0
2017,Number,Sexual harassment,21 to under 60 years,Male,r,,,763.0
2018,Number,Sexual harassment,21 to under 60 years,Male,r,,,822.0
2019,Number,Sexual harassment,21 to under 60 years,Male,r,,,910.0
2020,Number,Sexual harassment,21 to under 60 years,Male,r,,,999.0
2021,Number,Sexual harassment,21 to under 60 years,Male,|,r,,1018.0
2022,Number,Sexual harassment,21 to under 60 years,Male,r,,,1081.0
2023,Number,Sexual harassment,21 to under 60 years,Male,r,,,1232.0
2024,Number,Sexual harassment,21 to under 60 years,Male,,,,1361.0
2010,Number,Sexual harassment,60 years and older,,,,,663.0
2011,Number,Sexual harassment,60 years and older,,,,,713.0
2012,Number,Sexual harassment,60 years and older,,,,,704.0
2013,Number,Sexual harassment,60 years and older,,,,,732.0
2014,Number,Sexual harassment,60 years and older,,,,,716.0
2015,Number,Sexual harassment,60 years and older,,,,,768.0
2016,Number,Sexual harassment,60 years and older,,,,,780.0
2017,Number,Sexual harassment,60 years and older,,r,,,750.0
2018,Number,Sexual harassment,60 years and older,,r,,,809.0
2019,Number,Sexual harassment,60 years and older,,r,,,738.0
2020,Number,Sexual harassment,60 years and older,,r,,,797.0
2021,Number,Sexual harassment,60 years and older,,|,r,,790.0
2022,Number,Sexual harassment,60 years and older,,r,,,786.0
2023,Number,Sexual harassment,60 years and older,,r,,,909.0
2024,Number,Sexual harassment,60 years and older,,,,,917.0
2010,Number,Sexual harassment,60 years and older,Female,,,,592.0
2011,Number,Sexual harassment,60 years and older,Female,,,,618.0
2012,Number,Sexual harassment,60 years and older,Female,,,,626.0
2013,Number,Sexual harassment,60 years and older,Female,,,,668.0
2014,Number,Sexual harassment,60 years and older,Female,,,,638.0
2015,Number,Sexual harassment,60 years and older,Female,,,,671.0
2016,Number,Sexual harassment,60 years and older,Female,,,,702.0
2017,Number,Sexual harassment,60 years and older,Female,r,,,658.0
2018,Number,Sexual harassment,60 years and older,Female,r,,,689.0
2019,Number,Sexual harassment,60 years and older,Female,r,,,662.0
2020,Number,Sexual harassment,60 years and older,Female,r,,,676.0
2021,Number,Sexual harassment,60 years and older,Female,|,r,,689.0
2022,Number,Sexual harassment,60 years and older,Female,r,,,671.0
2023,Number,Sexual harassment,60 years and older,Female,r,,,744.0
2024,Number,Sexual harassment,60 years and older,Female,,,,747.0
2010,Number,Sexual harassment,60 years and older,Male,,,,71.0
2011,Number,Sexual harassment,60 years and older,Male,,,,95.0
2012,Number,Sexual harassment,60 years and older,Male,,,,78.0
2013,Number,Sexual harassment,60 years and older,Male,,,,64.0
2014,Number,Sexual harassment,60 years and older,Male,,,,78.0
2015,Number,Sexual harassment,60 years and older,Male,,,,97.0
2016,Number,Sexual harassment,60 years and older,Male,,,,78.0
2017,Number,Sexual harassment,60 years and older,Male,r,,,92.0
2018,Number,Sexual harassment,60 years and older,Male,r,,,120.0
2019,Number,Sexual harassment,60 years and older,Male,r,,,76.0
2020,Number,Sexual harassment,60 years and older,Male,r,,,121.0
2021,Number,Sexual harassment,60 years and older,Male,|,r,,101.0
2022,Number,Sexual harassment,60 years and older,Male,r,,,115.0
2023,Number,Sexual harassment,60 years and older,Male,r,,,165.0
2024,Number,Sexual harassment,60 years and older,Male,,,,170.0
2010,Percentage,Non-sexual harassment,,,,,,0.0353
2011,Percentage,Non-sexual harassment,,,,,,0.0335
2012,Percentage,Non-sexual harassment,,,,,,0.0328
2013,Percentage,Non-sexual harassment,,,,,,0.0317
2014,Percentage,Non-sexual harassment,,,,,,0.0289
2015,Percentage,Non-sexual harassment,,,,,,0.0259
2016,Percentage,Non-sexual harassment,,,,,,0.0244
2017,Percentage,Non-sexual harassment,,,,,,0.0241
2018,Percentage,Non-sexual harassment,,,,,,0.0247
2019,Percentage,Non-sexual harassment,,,,,,0.0246
2020,Percentage,Non-sexual harassment,,,,,,0.0256
2021,Percentage,Non-sexual harassment,,,,,,0.0269
2022,Percentage,Non-sexual harassment,,,,,,0.028
2023,Percentage,Non-sexual harassment,,,,,,0.0302
2024,Percentage,Non-sexual harassment,,,,,,0.032
2010,Percentage,Non-sexual harassment,,Female,,,,0.055
2011,Percentage,Non-sexual harassment,,Female,,,,0.0521
2012,Percentage,Non-sexual harassment,,Female,,,,0.0516
2013,Percentage,Non-sexual harassment,,Female,,,,0.0498
2014,Percentage,Non-sexual harassment,,Female,,,,0.0454
2015,Percentage,Non-sexual harassment,,Female,,,,0.041
2016,Percentage,Non-sexual harassment,,Female,,,,0.0388
2017,Percentage,Non-sexual harassment,,Female,,,,0.0385
2018,Percentage,Non-sexual harassment,,Female,,,,0.0395
2019,Percentage,Non-sexual harassment,,Female,,,,0.0394
2020,Percentage,Non-sexual harassment,,Female,,,,0.0408
2021,Percentage,Non-sexual harassment,,Female,,,,0.0426
2022,Percentage,Non-sexual harassment,,Female,,,,0.0445
2023,Percentage,Non-sexual harassment,,Female,,,,0.0476
2024,Percentage,Non-sexual harassment,,Female,,,,0.0505
2010,Percentage,Non-sexual harassment,,Male,,,,0.0149
2011,Percentage,Non-sexual harassment,,Male,,,,0.0139
2012,Percentage,Non-sexual harassment,,Male,,,,0.0131
2013,Percentage,Non-sexual harassment,,Male,,,,0.0128
2014,Percentage,Non-sexual harassment,,Male,,,,0.0117
2015,Percentage,Non-sexual harassment,,Male,,,,0.0103
2016,Percentage,Non-sexual harassment,,Male,,,,0.0095
2017,Percentage,Non-sexual harassment,,Male,,,,0.0093
2018,Percentage,Non-sexual harassment,,Male,,,,0.0094
2019,Percentage,Non-sexual harassment,,Male,,,,0.0093
2020,Percentage,Non-sexual harassment,,Male,,,,0.0099
2021,Percentage,Non-sexual harassment,,Male,,,,0.0109
2022,Percentage,Non-sexual harassment,,Male,,,,0.011
2023,Percentage,Non-sexual harassment,,Male,,,,0.0123
2024,Percentage,Non-sexual harassment,,Male,,,,0.0129
2010,Percentage,Non-sexual harassment,13 years and younger,,0,,,0.0043
2011,Percentage,Non-sexual harassment,13 years and younger,,0,,,0.0045
2012,Percentage,Non-sexual harassment,13 years and younger,,0,,,0.0047
2013,Percentage,Non-sexual harassment,13 years and younger,,0,,,0.0047
2014,Percentage,Non-sexual harassment,13 years and younger,,0,,,0.0042
